Precio alquileres;;
Zona;Precio Bs.;Descripción
Plaza Cobija;1100;Monoambiente, 1 ambiente, 1 baño
Plaza Cobija;2000;2 dormitorios, edificio nuevo
Sarco;4143;203 m², 3 dormitorios, 3 baños
Zona Norte;2500;6 dormitorios, 2 baños, 1 parqueo
Cala Cala;3735;163 m², 3 dormitorios, 4 baños, piscina
America Oeste;4970;3 dormitorios, sin garaje
America Oeste;6205;4 dormitorios, con garaje
Pacata Baja;2000;3 dormitorios, 3 baños, garaje incluido
Pacata Baja;2100;3 dormitorios, 3 baños, piso alto
Zona Central;2500;4 dormitorios
America y Melchor;2800;4 dormitorios, 182 m², garaje
Muyurina;350;Estudio mensual (monoambiente)
Queru Queru;680;Alquiler por día (21 USD convertido)
Tiquipaya;2495;3 dormitorios, 2 baños, condominio
